SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4388431087413152;33.76388603226827
117122;GreyMatter;0.7058667929348287;20.248456731316587
117122;Hippocampus;0.3812294339262721;70.50531894828929
117122;Thalamus;0.7263024726854515;62.161081071680215
117122;WhiteMatter;0.8133743796297855;19.026297590440446
117122-PP;Amygdala;0.4388431087413152;33.76388603226827
117122-PP;GreyMatter;0.7058667929348287;20.248456731316587
117122-PP;Hippocampus;0.3812294339262721;70.50531894828929
117122-PP;Thalamus;0.7263024726854515;62.161081071680215
117122-PP;WhiteMatter;0.8133743796297855;19.026297590440446
118528;Amygdala;0.36414166607282833;24.779023386727733
118528;GreyMatter;0.7040657043754371;20.92844953645635
118528;Hippocampus;0.3663786205792927;63.702433234531945
118528;Thalamus;0.7024664109542075;65.13063795173512
118528;WhiteMatter;0.8198804669126373;23.68543856465402
118528-PP;Amygdala;0.36414166607282833;24.779023386727733
118528-PP;GreyMatter;0.7040657043754371;20.92844953645635
118528-PP;Hippocampus;0.3663786205792927;63.702433234531945
118528-PP;Thalamus;0.7024664109542075;65.13063795173512
118528-PP;WhiteMatter;0.8198804669126373;23.68543856465402
118730;Amygdala;0.4506672500546926;27.80287754891569
118730;GreyMatter;0.7141628297292825;20.322401432901575
118730;Hippocampus;0.34537398782111445;68.7749954561976
118730;Thalamus;0.7192986330410971;68.38128398911503
118730;WhiteMatter;0.8076015373249741;20.46948949045872
118730-PP;Amygdala;0.4506672500546926;27.80287754891569
118730-PP;GreyMatter;0.7141628297292825;20.322401432901575
118730-PP;Hippocampus;0.34537398782111445;68.7749954561976
118730-PP;Thalamus;0.7192986330410971;68.38128398911503
118730-PP;WhiteMatter;0.8076015373249741;20.46948949045872
118932;Amygdala;0.42289787605469886;25.317977802344327
118932;GreyMatter;0.720612686718581;19.6468827043885
118932;Hippocampus;0.34700448222890934;74.21590126111789
118932;Thalamus;0.7244460872779457;56.124860801609124
118932;WhiteMatter;0.8289296626825982;22.22611077089287
118932-PP;Amygdala;0.42289787605469886;25.317977802344327
118932-PP;GreyMatter;0.720612686718581;19.6468827043885
118932-PP;Hippocampus;0.34700448222890934;74.21590126111789
118932-PP;Thalamus;0.7244460872779457;56.124860801609124
118932-PP;WhiteMatter;0.8289296626825982;22.22611077089287
120111;Amygdala;0.42178752552196536;35.566838487557476
120111;GreyMatter;0.7019038079844813;19.05255888325765
120111;Hippocampus;0.35470806614917316;56.32051136131489
120111;Thalamus;0.6813419365547003;61.40032573203501
120111;WhiteMatter;0.843701633112781;24.289915602982237
120111-PP;Amygdala;0.42178752552196536;35.566838487557476
120111-PP;GreyMatter;0.7019038079844813;19.05255888325765
120111-PP;Hippocampus;0.35470806614917316;56.32051136131489
120111-PP;Thalamus;0.6813419365547003;61.40032573203501
120111-PP;WhiteMatter;0.843701633112781;24.289915602982237
122317;Amygdala;0.4859857482185273;50.28916384272063
122317;GreyMatter;0.7186220573183214;19.621416870348583
122317;Hippocampus;0.36342668037205106;57.0
122317;Thalamus;0.7359903961584634;74.0
122317;WhiteMatter;0.828535721294374;20.46948949045872
122317-PP;Amygdala;0.4859857482185273;50.28916384272063
122317-PP;GreyMatter;0.7186220573183214;19.621416870348583
122317-PP;Hippocampus;0.36342668037205106;57.0
122317-PP;Thalamus;0.7359903961584634;74.0
122317-PP;WhiteMatter;0.828535721294374;20.46948949045872
122620;Amygdala;0.46458715596330274;26.115129714401192
122620;GreyMatter;0.7215646425697171;20.83266665599966
122620;Hippocampus;0.35962431177804166;71.02816342831905
122620;Thalamus;0.737840673199259;58.51495535331117
122620;WhiteMatter;0.799194809490873;28.89636655359978
122620-PP;Amygdala;0.46458715596330274;26.115129714401192
122620-PP;GreyMatter;0.7215646425697171;20.83266665599966
122620-PP;Hippocampus;0.35962431177804166;71.02816342831905
122620-PP;Thalamus;0.737840673199259;58.51495535331117
122620-PP;WhiteMatter;0.799194809490873;28.89636655359978
123117;Amygdala;0.4061816385576177;37.603191353926334
123117;GreyMatter;0.7063258292256752;21.908902300206645
123117;Hippocampus;0.3516838156709068;59.75784467331465
123117;Thalamus;0.7002878130503888;66.49060083951716
123117;WhiteMatter;0.8390161673434986;19.519221295943137
123117-PP;Amygdala;0.4061816385576177;37.603191353926334
123117-PP;GreyMatter;0.7063258292256752;21.908902300206645
123117-PP;Hippocampus;0.3516838156709068;59.75784467331465
123117-PP;Thalamus;0.7002878130503888;66.49060083951716
123117-PP;WhiteMatter;0.8390161673434986;19.519221295943137
123925;Amygdala;0.4626830605372386;24.819347291981714
123925;GreyMatter;0.699409671476326;19.672315572906
123925;Hippocampus;0.3747380247607113;71.06335201775947
123925;Thalamus;0.7478624438172886;69.02897942168927
123925;WhiteMatter;0.8233317903845377;23.021728866442675
123925-PP;Amygdala;0.4626830605372386;24.819347291981714
123925-PP;GreyMatter;0.699409671476326;19.672315572906
123925-PP;Hippocampus;0.3747380247607113;71.06335201775947
123925-PP;Thalamus;0.7478624438172886;69.02897942168927
123925-PP;WhiteMatter;0.8233317903845377;23.021728866442675
124422;Amygdala;0.5238060087104156;44.328320518603
124422;GreyMatter;0.6961083037936496;20.808652046684813
124422;Hippocampus;0.371223875148307;59.6992462263972
124422;Thalamus;0.7718792835071905;60.091596750294464
124422;WhiteMatter;0.777297427535932;25.238858928247925
124422-PP;Amygdala;0.5238060087104156;44.328320518603
124422-PP;GreyMatter;0.6961083037936496;20.808652046684813
124422-PP;Hippocampus;0.371223875148307;59.6992462263972
124422-PP;Thalamus;0.7718792835071905;60.091596750294464
124422-PP;WhiteMatter;0.777297427535932;25.238858928247925
