SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0;92.13576938409967
117122;GreyMatter;0.6829517312373696;20.248456731316587
117122;Hippocampus;0.025628906044850585;91.13177272499422
117122;Thalamus;0.03203955835534783;69.35416353759881
117122;WhiteMatter;0.7913099065788214;19.026297590440446
117122-PP;Amygdala;0.0;92.13576938409967
117122-PP;GreyMatter;0.6829517312373696;20.248456731316587
117122-PP;Hippocampus;0.025628906044850585;91.13177272499422
117122-PP;Thalamus;0.03203955835534783;69.35416353759881
117122-PP;WhiteMatter;0.7913099065788214;19.026297590440446
118528;Amygdala;0.0;87.13782186857783
118528;GreyMatter;0.6801586678187103;21.18962010041709
118528;Hippocampus;0.031030540584680712;90.69178573608527
118528;Thalamus;0.01749176260017085;71.19691004531025
118528;WhiteMatter;0.7978753520102365;24.657656011875904
118528-PP;Amygdala;0.0;87.13782186857783
118528-PP;GreyMatter;0.6801586678187103;21.18962010041709
118528-PP;Hippocampus;0.031030540584680712;90.69178573608527
118528-PP;Thalamus;0.01749176260017085;71.19691004531025
118528-PP;WhiteMatter;0.7978753520102365;24.657656011875904
118730;Amygdala;0.0;112.8583182578936
118730;GreyMatter;0.6890027706259289;20.46948949045872
118730;Hippocampus;0.018887823585810162;87.66983517721475
118730;Thalamus;0.030305723426946322;70.73188814106408
118730;WhiteMatter;0.7789816876280907;21.118712081942874
118730-PP;Amygdala;0.0;112.8583182578936
118730-PP;GreyMatter;0.6890027706259289;20.46948949045872
118730-PP;Hippocampus;0.018887823585810162;87.66983517721475
118730-PP;Thalamus;0.030305723426946322;70.73188814106408
118730-PP;WhiteMatter;0.7789816876280907;21.118712081942874
118932;Amygdala;0.0;62.42595614005443
118932;GreyMatter;0.6949462778204144;20.396078054371138
118932;Hippocampus;0.02546612096407458;88.14760348415605
118932;Thalamus;0.031663187195546276;70.63285354564121
118932;WhiteMatter;0.804677696071002;22.9128784747792
118932-PP;Amygdala;0.0;62.42595614005443
118932-PP;GreyMatter;0.6949462778204144;20.396078054371138
118932-PP;Hippocampus;0.02546612096407458;88.14760348415605
118932-PP;Thalamus;0.031663187195546276;70.63285354564121
118932-PP;WhiteMatter;0.804677696071002;22.9128784747792
120111;Amygdala;0.0;95.00526301210897
120111;GreyMatter;0.6803586639513959;19.05255888325765
120111;Hippocampus;0.026096978677862846;82.80700453464067
120111;Thalamus;0.02100087503645985;71.23903424387504
120111;WhiteMatter;0.8247260976635624;24.020824298928627
120111-PP;Amygdala;0.0;95.00526301210897
120111-PP;GreyMatter;0.6803586639513959;19.05255888325765
120111-PP;Hippocampus;0.026096978677862846;82.80700453464067
120111-PP;Thalamus;0.02100087503645985;71.23903424387504
120111-PP;WhiteMatter;0.8247260976635624;24.020824298928627
122317;Amygdala;0.0;95.2732911156112
122317;GreyMatter;0.6879800039688069;21.283796653792763
122317;Hippocampus;0.028759736369083282;88.50988645343524
122317;Thalamus;0.021319277819297485;74.30343195303969
122317;WhiteMatter;0.7993157519127126;20.639767440550294
122317-PP;Amygdala;0.0;95.2732911156112
122317-PP;GreyMatter;0.6879800039688069;21.283796653792763
122317-PP;Hippocampus;0.028759736369083282;88.50988645343524
122317-PP;Thalamus;0.021319277819297485;74.30343195303969
122317-PP;WhiteMatter;0.7993157519127126;20.639767440550294
122620;Amygdala;0.0;86.72369918309528
122620;GreyMatter;0.6966154592966044;22.40535650240808
122620;Hippocampus;0.017738359201773836;87.11486669908874
122620;Thalamus;0.0202137650373418;69.13031173081747
122620;WhiteMatter;0.7775249849647596;29.765752132274432
122620-PP;Amygdala;0.0;86.72369918309528
122620-PP;GreyMatter;0.6966154592966044;22.40535650240808
122620-PP;Hippocampus;0.017738359201773836;87.11486669908874
122620-PP;Thalamus;0.0202137650373418;69.13031173081747
122620-PP;WhiteMatter;0.7775249849647596;29.765752132274432
123117;Amygdala;0.0;90.55937278934744
123117;GreyMatter;0.6806889210511458;22.338307903688676
123117;Hippocampus;0.021936924365057214;88.61715409558128
123117;Thalamus;0.035866852768261216;71.4142842854285
123117;WhiteMatter;0.8130769032774458;22.22611077089287
123117-PP;Amygdala;0.0;90.55937278934744
123117-PP;GreyMatter;0.6806889210511458;22.338307903688676
123117-PP;Hippocampus;0.021936924365057214;88.61715409558128
123117-PP;Thalamus;0.035866852768261216;71.4142842854285
123117-PP;WhiteMatter;0.8130769032774458;22.22611077089287
123925;Amygdala;0.0;96.66954018717581
123925;GreyMatter;0.6737343623336016;20.688160865577203
123925;Hippocampus;0.024440899376937664;89.40917178902845
123925;Thalamus;0.02482966183171007;71.00704190430693
123925;WhiteMatter;0.7945263662393145;23.600847442411894
123925-PP;Amygdala;0.0;96.66954018717581
123925-PP;GreyMatter;0.6737343623336016;20.688160865577203
123925-PP;Hippocampus;0.024440899376937664;89.40917178902845
123925-PP;Thalamus;0.02482966183171007;71.00704190430693
123925-PP;WhiteMatter;0.7945263662393145;23.600847442411894
124422;Amygdala;0.0;88.12491134747314
124422;GreyMatter;0.6660308576703101;21.213203435596427
124422;Hippocampus;0.0220977518606614;79.71825386948713
124422;Thalamus;0.023488181343673104;68.07348970047003
124422;WhiteMatter;0.7489184127324604;26.981475126464083
124422-PP;Amygdala;0.0;88.12491134747314
124422-PP;GreyMatter;0.6660308576703101;21.213203435596427
124422-PP;Hippocampus;0.0220977518606614;79.71825386948713
124422-PP;Thalamus;0.023488181343673104;68.07348970047003
124422-PP;WhiteMatter;0.7489184127324604;26.981475126464083
