SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.037706205813040065;99.54396013822235
117122;GreyMatter;0.6837097214617084;20.322401432901575
117122;Hippocampus;0.023568613109025152;88.30628516702534
117122;Thalamus;0.052123152245551266;71.34423592694787
117122;WhiteMatter;0.771862005357472;19.026297590440446
117122-PP;Amygdala;0.037706205813040065;99.54396013822235
117122-PP;GreyMatter;0.6837097214617084;20.322401432901575
117122-PP;Hippocampus;0.023568613109025152;88.30628516702534
117122-PP;Thalamus;0.052123152245551266;71.34423592694787
117122-PP;WhiteMatter;0.771862005357472;19.026297590440446
