SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.02294279596206791;97.9081201943945
117122;GreyMatter;0.6874461861569138;20.322401432901575
117122;Hippocampus;0.05575402400353229;90.29950165975447
117122;Thalamus;0.06665445143427187;72.02777242147643
117122;WhiteMatter;0.7792334465433519;19.339079605813716
117122-PP;Amygdala;0.02294279596206791;97.9081201943945
117122-PP;GreyMatter;0.6874461861569138;20.322401432901575
117122-PP;Hippocampus;0.05575402400353229;90.29950165975447
117122-PP;Thalamus;0.06665445143427187;72.02777242147643
117122-PP;WhiteMatter;0.7792334465433519;19.339079605813716
