SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0014340344168260039;96.71607932500159
117122;GreyMatter;0.6669360964493699;20.83266665599966
117122;Hippocampus;0.005953624399415083;89.37001734362593
117122;Thalamus;0.02021730694606131;71.37226352022192
117122;WhiteMatter;0.7942357808644552;19.026297590440446
117122-PP;Amygdala;0.0014340344168260039;96.71607932500159
117122-PP;GreyMatter;0.6669360964493699;20.83266665599966
117122-PP;Hippocampus;0.005953624399415083;89.37001734362593
117122-PP;Thalamus;0.02021730694606131;71.37226352022192
117122-PP;WhiteMatter;0.7942357808644552;19.026297590440446
